ID,Corpus,Label,Created_at
77,"Di tengah pemberitaan banjir di Pagarsih Bandung, beredar surat agar warga bantaran Sungai Citarum mewaspadai Waduk Saguling yang pintu airnya akan dibuka 1 meter. Surat itu beredar lewat aplikasi WhatsApp Messenger, Jumat (11/11/2016). Terlihat, kop surat bertuliskan 'Indonesia Power, Unit Pembangkitan Saguling' dengan lambang PLN di kanan atas. Surat itu bernomor 282/014/UPSGL/2016, tertanggal 10 November 2016. Surat itu ditandatangani oleh General Manager Indonesia Power Hendres Wayen P. ""Sehubungan dengan kondisi air Waduk Saguling sampai dengan saat ini telah mencapai ketinggian 643,70 mdpl, pada saat elevasi mencapai 643,80 mdpl sesuai SOP pintu spillway no.3 akan dibuka setinggi 1 m. Hal ini menyebabkan volume air ke Sungai Citarum akan bertambah besar. Untuk itu, kami mengimbau kepada seluruh masyarakat yang tempat tinggalnya berada di bantaran Sungai Citarum maupun masyarakat yang mempunyai aktivitas di area tersebut dimohon untuk meningkatkan kewaspadaan dan mengamankan diri masing-masing apabila sewaktu-waktu terjadi aliran air yang deras di Sungai Citarum (banjir),"" demikian bunyi surat itu.",1,2018-02-02 05:14:44.943640+00:00
78,"Foto Wayne McLaren, seorang mantan bintang iklan rokok yang kemudian meninggal dunia karena kanker paru-paru beredar luas di media sosial. Foto tersebut disebar di grup percakapan sebagai pengingat soal bahaya merokok. Benarkah? Foto kolase tersebut beredar sejak lama. Namun hingga hari ini, masih sering disebar luas di media sosial. Isinya gambar sosok McLaren saat masih menjadi bintang iklan rokok. Dia digambarkan sebagai sosok pria macho, berdiri di samping kuda dan berpenampilan bak seorang koboi. Di sisi kanan foto itu, ada McLaren tua yang terkulai di rumah sakit. Diyakini, itu adalah foto McLaren sebelum mengembuskan nafas terakhir. Sebuah keterangan di bawah foto tadi tertulis bahwa McLaren adalah mantan bintang iklan rokok dan meninggal di usia 51 tahun karena kanker paru-paru. Pesan terakhirnya sebelum meninggal dunia justru agar masyarakat menjauhi rokok. ""Take care of the children. Tobacco will kill you, and I am living proof of it."" ",0,2018-02-02 05:14:53.300306+00:00
79,"""Di Ukraina Jika Anggota DPR Ga Becus Langsung Dibuang Ke Tempat Sampah, Kalau Di Indonesia….?"" demikian salah satu judul sebuah situs yang beredar luas di facebook. Judul itu sungguh menarik, karena diisi juga dengan gambar seorang pria berjas dan berdasi dilemparkan ke bak sampah. Artikel dan foto-foto itu beredar luas di media sosial sejak beberapa pekan lalu. Digambarkan, anggota DPR di dalam foto sudah tak dipercaya oleh rakyatnya. Si anggota parlemen dianggap tak becus kerja. Akhirnya masyarakat pun geram dan melemparkannya ke bak sampah. Beberapa akun mengomentarinya dengan penuh semangat, sebagian ikut menghardik anggota DPR di Indonesia. Ada juga yang ingin melakukan hal yang sama pada anggota DPR yang terbukti tak bekerja maksimal untuk rakyat.",1,2018-02-02 05:15:04.938235+00:00
80,"Beredar pesan berantai yang berisi informasi tentang biaya mengubah Hak Guna Bangunan (HGB) ke Sertifikat Hak Milik (SHM) bagi warga yang rumahnya berada di Depok. Mereka yang ingin mengubah HGB ke SHM cukup membayar Rp 50 ribu saja. Berikut pesan berantai tersebut: Bapak Ibu: Jika ada yang punya rumah di Depok yang masih HGB, sekarang ini ada pemutihan, dari sertifikat HGB menjadi SHM, hanya dengan biaya Rp 60.000 saja. Datang ke BPN Depok, bawa copy KTP, KK, PBB asli 3 tahun terakhir dan copynya. Beli map di sana 10.000 plus bayar biayanya di loket sebesar Rp 50.000. Hanya dalam waktu 5 hari kerja, SHGB sudah menjadi SHM. Semoga bermanfaat.",0,2018-02-02 05:15:18.184982+00:00
81,"Pesan berantai beredar melalui media sosial tentang pembuatan kartu anggota Foreigner Community Club (FCC) di Bali. Kartu ini disebut bisa menjadi penolong bila turis mendapat masalah di Bali.Kartu tersebut khusus untuk para ekspatriat. Bila mereka terkena masalah misalnya kehilangan paspor, tas, kebingungan di bandara atau ditipu, mereka bisa menunjukkan kartu tersebut untuk mendapatkan perlakuan prioritas. Kartu itu berwarna cokelat dan terdapat tulisan Foreigner Community Club (FCC Identity Card). Identitas yang dicantumkan adalah nama, kebangsaan, nomor paspor dan jabatan di FCC.  Ada lambang Polda Bali, PAM Obvit dan FCC. Pembuatan kartu itu rencananya akan dikenakan biaya sebesar Rp 150 ribu selama 6 bulan dan Rp 250 ribu selama 1 tahun. Biaya ini untuk menutupi biaya administrasi pembuatan kartu dan pemeliharaan data base. Informasi soal kartu ini juga akan diberitahukan melalui Facebook khusus yang dibuat komunitas FCC.",1,2018-02-02 05:15:27.064615+00:00
82,"Muncul pesan berantai yang berisi informasi akan adanya bentrokan antara pengemudi transportasi online dan angkot di Bandung. Dalam pesan berantai tersebut tertulis bentrokan akan terjadi pada Rabu (11/10) ini dengan diawali demo besar-besaran. Pesan berantai itu menyebut bentrokan terjadi akibat ojek online meminta pertanggungjawaban kepada kubu angkot gabungan atas tewasnya pengemudi ojek online di Jalan BKR, Bandung. Tak hanya di lokasi itu, pesan berantai itu juga menyebut pengemudi ojek online lain ditabrak hingga tewas di Jalan Buahbatu oleh angkot.Pesan kaleng itu pun menyebutkan pengemudi ojek online dikeroyok di Jalan Karapitan, Bandung. Lalu pesan itu juga menyebut ada pengemudi ojek online yang hilang tak ada kabar.""Info terkini, malam ini (kemarin) para online lagi kumpul di Gedung Sate. Besok (hari ini) bakal datang dari Cimahi ojek online sekitar 1.000 orang, dari Jakarta 500 orang, mau ke Bandung, belum dari yang lain. Besok (hari ini) jangan main HP di motor atau di pinggir jalan, takut dikira ojek online. Besok udah ga ada tanya tanya lg, maen sikat langsung!! Hatur Nuhun,"" kata pesan berantai itu.Dalam pesan berantai itu tertulis informasi tersebut berasal dari FKDM.",1,2018-02-02 05:15:37.550769+00:00
83,"Laporan Kebakaran Mobil. Pada hari Sabtu tgl 14 Okt 2017 Skp. 03.15 wib telah terjadi kebakaran sebuah mobil Mazda warna merah nopol B 1599 PVH di Jl Harapan 1 Nomor 3 Kodamar yang diparkir didepan rumah Nama pemilik Sdr Bimantoro Prasetiyo Hp. 081316009694 Tempat tanggal lahir Jakarta 22 Okteber 1999 Pekejaan musisi. Adapun penyebab kebakaran dikarenakan akibat arus pendek. korban jiwa nihil, korban materiil mengalami kerugian di taksir sekitar Rp. 125 jt. api dapat di padamkan skp. 04.00 wib oleh BPK setempat.",1,2018-02-02 05:15:47.589374+00:00
84,"Sebuah pesan berantai beredar di aplikasi pesan instan pada Minggu (1/10/2017). Isinya adalah video berdurasi 38 detik dengan gambar yang cukup mengerikan.Ini adalah suasana di dekat Kabah di Masjidil Haram, Makkah, Arab Saudi. Ada ceceran darah bertebaran di lantai dan petugas yang berusaha membarikade supaya jamaah tidak mendekat.Pesan yang beredar menyebutkan itu adalah bom bunuh diri yang meledak di Kabah. Cukup mengerikan.",0,2018-02-02 05:16:04.003643+00:00
85,"Broadcast tersebut menyebut tawuran yang terjadi di Jalan Raya Bogor arah Cililitan. Tawuran tersebut pun dikabarkan telah meluas lokasi peristiwanya. Di dalam pesan, pengguna jalan diminta berhati-hati. Ada dua pesan yang disebar. Berikut bunyi pesannya: Pesan kesatu: Kepada teman2 semua..hindari.jalan raya bogor arah.cililitan..bentrokan mulai melebar ke arah ..uki cawang dan kramat jati...😎 Hati2 yaa yg mau lewat arah Cililitan - Dewi Sartika lg ada tawuran antar warga (infonya warga ambon vs warga pribumi budi asih) Jangan lewat dewi sartika dulu ,, di karenakan korban sudah ada ,, dan tawuran akan berlanjut sampai malam.. Pesan kedua: Kepada teman2s.hindari.jalan raya bogor arah.cililitan..bentrokan mulai melebar ke arah ..uki cawang dan kramat jati...😎 Info yang melintasi jln celilitan hati hati "" ada perang antara FBR sama AMBON",0,2018-02-02 05:16:12.297546+00:00
86,"Broadcast itu menyebutkan, ada empat titik di Jakarta Selatan yang menggunakan mode penilangan via CCTV. Dijelaskan dalam broadcast itu, CCTV bisa dipakai dengan mode zoom untuk mendapatkan detail nopol dan tindakan pelanggaran yang dilakukan pengendara. Berikut isi broadcast tersebut: INFO: Yangg melintas dijalanan KOTA Jakarta Selatan khususnya Radio Dalam : Besok selasa ada uji coba tilang e-CCTV. Berikut daftar Jl yang akan diuji coba antara lain: Jl. Mampang prapatan raya, Jl. Pasar minggu raya, Jl. Kalibata makam pahlawan, Jl.Lenteng agung. Berhenti di belakang garis Lampu TL. Hati hati dengan kecepatan ketika lampu TL sdh menyala warna kuning. Karena sensor CCTV akan me-ngezoom saat lampu kuning menyala. Mungkin jg dibeberapa wilayah atau tempat lain. Jangan lupa juga temen2 yg kerja atau perjlnn ke Kota Bintaro informasi mulai september 2017 akan dipasang puluhan CCTV di tmpt2 yg rawan pelanggaran Lalu Lintas sprti Traffic Light maupun tmpt lain. Tujuan pemasangan CCTV trsbt adl utk menangkap scra detail visual para pelanggar Lalin selanjutnya akan dilakukan penilangan secara elektronik dan dikirim surat krmh alamat sesuai Nopol bahkan CCTV tersebut dpt menangkap gambar wajah dan Nopol scra jelas. Khususnya rekan2 jika berhenti dilampu merah jangan melebihi Stop Line lbh baik ambil blkngnya Stop Line. Bahwa Pemkot Kota Jakarta Selatan akan menggandeng kerja sama Satlantas Polres Pesanggrahan, Kejaksaan Negeri , PN dan Dishub kota maupun instansi lain. Mari bersama -sama tertib Lalu Lintas di jalan dg Motto Keselamatan Sebagai Kebutuhan No 1. Aplikasi dilapangan akan segera di publikasikan. ",0,2018-02-02 05:16:23.152448+00:00
87,"Sebuah pesan berisi peringatan kepada pengguna jalan tersebar melalui broadcast di aplikasi pesan instan. Dalam pesan tersebut dikatakan Pemerintah Kota Depok akan memasang puluhan kamera closed-circuit television (CCTV) di jalan raya. CCTV itu akan dipasang di lokasi rawan pelanggaran lalu lintas. Lewat CCTV, gambar pelanggar lalu lintas akan ditangkap. Berikut ini isi broadcast pesan tersebut: INI BENER NGGA YA? Beredar BC ini. INFO: Yangg melintas dijalanan KOTA DEPOK : Besok senin depan ada uji coba tilang e-CCTV. Berikut daftar Jl yang akan diuji coba antara lain: Jl. Margonda, Jl. A. Rahman Hakim, Jl. Nusantara, Jl. Akses UI, Jl. Raya Bogor, Jl. Raya Sawangan, Jl. Raya Cimanggis. Berhenti di belakang garis Lampu TL. Hati hati dengan kecepatan ketika lampu TL sdh menyala warna kuning. Karena sensor CCTV akan me-ngezoom saat lampu kuning menyala. Mungkin jg dibeberapa wilayah atau tempat lain. Ojo lupa juga temen2 yg kerja atau perjlnn ke Kota DEPOK informasi mulai september 2017 akan dipasang puluhan CCTV di tmpt2 yg rawan pelanggaran Lalu Lintas sprti Traffic Light maupun tmpt lain. Tujuan pemasangan CCTV trsbt adl utk menangkap scra detail visual para pelanggar Lalin selanjutnya akan dilakukan penilangan secara elektronik dan dikirim surat krmh alamat sesuai Nopol bahkan CCTV tersebut dpt menangkap gambar wajah dan Nopol scra jelas. Khususnya rekan2 jika berhenti dilampu merah jangan melebihi Stop Line lbh baik ambil blkngnya Stop Line. Bahwa Pemkot Kota DEPOK akan menggandeng kerja sama Satlantas Polres Kota DEPOK, Kejaksaan Negeri , PN dan Dishub kota maupun instansi lain.Mari bersama -sama tertib Lalu Lintas di jalan dg Motto Keselamatan Sebagai Kebutuhan No 1.Aplikasi dilapangan akan segera di publikasikan.",0,2018-02-02 05:16:32.084588+00:00
88,"Jakarta - Beredar video di sosial media Twitter yang menyebutkan jebolnya Bendungan Katulampa. Akun yang menyebarkan video tersebut meminta warga DKI Jakarta berhati-hati. Video tersebut diposting pada Selasa (21/11) tengah malam sekitar pukul 00.04 WIB. Postingan itu kemudian di-retweet sekitar 26 kali. Terkait video tersebut, BPBD DKI Jakarta menegaskan Bendungan Katulampa tak jebol. Hanya saja memang debit air di bendungan tersebut sempat naik karena curah hujan yang tinggi. ""Curah Hujan yang akhir akhir mengguyur wilayah Jakarta dan wilayah bogor memang sempat membuat debit air di Bendung Katulampa meningkat dan air kiriman dari hulu sempat menggenangi wilayah yang berada dibantaran sungai ciliwung beberapa waktu silam,"" kata BPBD DKI Jakarta dalam pernyataan tertulis yang diterima detikcom, Selasa (21/11/2017). ""BPBD Provinsi DKI Jakarta memastikan bahwa berita tersebut adalah hoax,"" tegasnya. Menurut BPBD DKI Jakarta, tinggu muka air hari ini normal dan tidak mengalami kenaikan. Curah hujan di Bogor dan Jakarta juga masih 0 mm. BPBD DKI Jakarta pun mengimbau masyarakat agar tidak mudah percaya hoax dan memahami nama serta fungsi Bendungan Katulampa. ""Banyak orang yang salah menyebutkan Bendung Katulampa dengan Bendungan Katulampa. Fungsi Bendung dan Bendungan jelaslah berbeda. Bendung sendiri merupakan air yang ditampung untuk dibagikan, sedangkan Bendungan merupakan air yang ditampung dan dipertahankan baik saat musim hujan maupun kemarau,"" imbau BPBD DKI Jakarta.Saat diperiksa detikcom sekitar pukul 17.15 WIB, Selasa (21/11), video tersebut telah dihapus. Selain itu juga pemilik aku telah meminta maaf soal hoax yang dia sampaikan. ""Maap itu tadi hoax de!"" kicaunya.",1,2018-02-02 05:16:44.181216+00:00
89,"Jakarta - Sebuah makam di Tempat Pemakaman Umum (TPU) Bukit Damai Sentosa Sungainangka, Balikpapan, Kalimantan Timur membuat geger warga. Di makam tersebut, keluar cairan yang diduga adalah darah. Benarkah? Dari sejumlah postingan di media sosial, terlihat makam itu mengeluarkan cairan merah seperti darah. Jenazah yang berada di makam tersebut baru saja dimakamkan pada 15 September 2017 lalu. Postingan yang viral di media sosial itu kemudian membuat banyak warga yang penasaran dan mendatangi lokasi tersebut. detikcom mengonfirmasi tentang kebenaran kabar tersebut. Paur Subbag Humas Polres Balikpapan, Iptu Tri Ikwan DJ menjelaskan, cairan yang keluar dari makam tersebut bukanlah darah. ""Itu bukan darah karena tidak ada bau anyir atau amis. Merah bisa dari akar, gelembung. Bisa karena udara panas di tanah karena sebelumnya tidak ada hujan,"" ujar Tri dalam pesan kepada detikcom, Senin (9/10/2017). Hebohnya kabar tersebut membuat banyak warga yang berdatangan. Tri mengatakan pihak kepolisian beserta warga setempat telah menimbun cairan di makam tersebut dengan tanah. ""Mulai minggu kemarin oleh Pak RT dan warga sekitar sudah ditimbun demi menjaga Kamtibmas. Karena motor parkir di jalan daripada terjadi hal yang tidak diinginkan,"" kata Tri. ",0,2018-02-02 05:16:55.972759+00:00
90,"Sejak awal Juli, warganet dibuat iba oleh cerita bocah sebatang kara di Karawang yang hidup sebatang kara. Dia telantar tanpa perhatian warga dan pemerintah. Saking menyedihkan, bocah yang tinggal di gubuk reyot itu disebut-sebut baru merasakan ketoprak untuk pertama kali dalam hidupnya. Bahkan katanya, saat Ramadan 2017, sebungkus nasi ia bagi dua. Separuh dimakan sahur, separuh lagi saat berbuka. Benarkah? Beberapa portal berita online turut menyebarkan informasi tersebut. Namun kisah ini berawal dari posting-an pengguna Facebook berinisial YR seperti berikut ini: AP (sengaja disebut inisial-red) 13thn Tinggal di dusun cibuaya IV, rt/rw 001/007 desa cibuaya, kecamatan.cibuaya, kabupaten karawang. Dia yatim, Yg sll bekerja keras, wlu seharusnya anak seusianya msh sklh Dan bermain. Namun dia Kini Tak sekolah lagi krn tdk ada biaya. Demi utk hidup Dan makan. AP rela bekerja nyuci piring,nyuci baju,nyetrika,jual kopi keliling dan ikut jadi kuli panggul di pasar. demi rupiah demi mengisi perut. Dulu dia tinggal bersama ibunya. Namun sdh 2 bln INI, ibunya pergi entah kemana. Dari keterangan tetangga , katanya ke Jakarta. Mgkn Untuk bekerja. Kini AP permana hidup sendiri di gubuk reotnya. Yg membuat hati Miris di kala puasa kemarin… setiap Hari sebungkus nasi dia bagi 2., separo Untuk sahur dan separo Untuk berbuka atau sebaliknya.Hari Raya lebaran pun dia lalui dgn sendirian di gubuk reotnya tanpa Ibu, sdg Yg lain berkumpul dgn keluarga. Terlebih lg dia mengatakan seumur hidup nya baru pertama kali makan ketoprak, ketika ada seseorang membelikan. Yang ternyata pernah terbesit di hati nya bagaimana rasanya ketoprak.Ya allah… bersyukurlah kita dengan keadaan kita. Karena di luar sana masih bnyak saudara2 kita yang begitu kekurangan. Sosok anak laki"" yatim Yg Kini hidup sendiri di gubuk reotnya tanpa ibu nya mengajarkan kita akan kesabaran,keperihatinan juga ke ilkhlasan. dia tinggal di gubuk yang separo sudah roboh. Subhanallah..… Yg semangat le.... sabar , sehat Dan ikhlas, SMG ada Yg peduli, Dan membantu agar engkau bisa tinggal di Rumah Yg layak, terlebih lg ibumu segera ada kbr Dan bisa bersama lagi....amin yarroball alamin.""",1,2018-02-02 05:17:06.763770+00:00
91,"Beredar broadcast di Facebook, Twitter, dan grup WhatsApp. Berikut ini isinya: Telah berpindah tangan satu lagi BUMN strategis yang dibangun oleh Alm Soeharto dan Prof DR Ing BJ Habibie... Dengan ditandatanganinya pelunasan pembayaran dari pemerintah Cina kepada pemerintah Indonesia pada awal April 2017 oleh Presiden Joko Widodo (disetujui dan ditandatangani oleh Ketua KPK, ketua DPR RI dan ketua dewan pertimbangan presiden) maka secara resmi kepemilikan PT Dirgantara Indonesia/PTDI dh. IPTN NURTANIO berpindah tangan menjadi milik pemerintah Tjina. Dengan demikian, untuk selanjutnya, seluruh pesawat dan komponen hasil produksi akan berlabel Made in Cina.",1,2018-02-02 05:17:15.219610+00:00
92,"Pesan itu tersebar di beberapa waktu terakhir. Menyebar di grup WhatsApp satu ke yang lainnya. Dalam pesan itu disebutkan, Kombes Chrisnanda Dwi Laksana meminta agar masyarakat pada rentang tanggal sebelum 9 Mei mengirim bunga ke kantor polisi dan Mabes Polri. Kata-kata dalam rangkaian bunga tersebut antara lain 'NKRI Harga Mati, Amalkan Pancasila sampai Bhinneka Tunggal Ika'. Si pembuat pesan juga mengaitkan isi tulisan dalam karangan bunga dengan Gubernur DKI Basuki T Purnama.",1,2018-02-02 05:17:25.939414+00:00
93,"Jakarta - Akun Twitter resmi Sekretariat Kabinet sempat mencuit pernyataan Presiden Joko Widodo terkait Nahdlatul Ulama. Cuitan itu menyatakan Jokowi meminta NU menindak ormas radikal. ""Kita sudah minta pada jajaran NU agar tegas pada aliran radikal & intoleran, apa pun organisasinya - Presiden @Jokowi,"" tulis akun @setkabgoid, yang kini sudah dihapus. Menurut Seskab Pramono Anung, administrator (admin) akun Twitter tersebut salah mengutip pernyataan Jokowi. ""Jadi ada kesalahan yang dilakukan oleh admin,"" kata Pramono di Istana Bogor, Kota Bogor, Jawa Barat, Selasa (28/11/2017). Pramono menyatakan admin tersebut tak membaca pernyataan Jokowi secara menyeluruh. Akibatnya, ada kesalahan konteks yang ditulis. ""Apa yang disampaikan oleh Presiden kan bukan ditujukan ke NU, tapi ditujukan ke jajaran pemerintah untuk bersikap tegas, bertindak tegas, terhadap aksi intoleransi dan radikalisme. Dikutip salah oleh adminnya dan langsung saya ganti, ya,"" tutur Pramono. ",1,2018-02-02 05:17:34.885496+00:00
